,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
2418,21-114021,False,False,False,False,False,False,True,
2419,21-114024,False,False,True,False,False,False,False,
2420,21-114025,False,False,False,False,True,False,False,
2421,21-114030,False,False,False,True,False,False,False,
2422,21-114031,False,False,False,True,False,False,False,
2423,21-114035,False,False,False,False,True,False,False,
2424,21-114042,False,False,False,False,True,False,False,
2425,21-114045,False,False,False,False,True,False,False,
2426,21-114048,False,False,False,False,False,False,True,
2427,21-114054,False,True,False,False,False,False,False,
2428,21-114055,False,False,False,False,False,False,False,
2429,21-114056,False,True,False,False,False,False,False,
2430,21-114058,False,True,False,False,False,False,False,
