,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
560,21-147428,False,False,False,False,True,False,False,
561,21-147431,False,False,False,False,True,False,False,
562,21-147434,False,False,False,False,False,False,False,
563,21-147436,False,False,False,False,True,False,False,
564,21-147437,False,False,False,False,False,False,False,
565,21-147439,False,False,False,False,True,False,False,
566,21-147441,False,False,False,False,True,False,False,
567,21-147443,False,True,False,False,False,False,False,
568,21-147449,False,False,False,False,True,False,False,
569,21-147456,False,False,False,False,True,False,False,
570,21-147457,False,False,False,False,True,False,False,
571,21-147458,False,False,False,False,True,False,False,
572,21-147460,False,False,False,False,False,False,True,
573,21-147463,False,False,False,True,False,False,False,
574,21-147475,False,False,False,False,False,False,True,
575,21-147478,False,False,False,True,False,False,False,
576,21-147484,False,False,False,True,False,False,False,
577,21-147485,False,False,False,False,False,False,False,
578,21-147486,False,True,False,False,False,False,False,
579,21-147493,False,False,False,False,True,False,False,
580,21-147495,False,False,False,True,False,False,False,
581,21-147496,False,False,False,False,False,False,False,
582,21-147497,False,False,False,False,False,False,True,
583,21-147498,False,False,False,False,False,False,True,
584,21-147500,False,False,False,False,False,True,False,
585,21-147505,False,False,False,False,False,False,False,
586,21-147507,False,False,False,False,False,False,False,
587,21-147512,False,False,False,False,False,False,False,
588,21-147514,False,False,False,False,True,False,False,
589,21-147516,False,False,False,False,False,False,False,
590,21-147520,False,False,False,False,False,False,True,
591,21-147527,False,False,False,False,True,False,False,
592,21-147529,False,False,False,False,True,False,False,
593,21-147531,False,False,False,False,True,False,False,
594,21-147532,False,False,False,False,False,False,True,
595,21-147539,False,False,False,False,True,False,False,
596,21-147543,False,False,False,False,False,False,False,
597,21-147546,False,False,False,False,False,False,True,
