BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
21-67471,False,True,False,False,False,False,False,
21-67483,False,False,False,False,False,False,False,
21-67485,False,False,False,False,True,False,False,
21-67486,False,False,False,False,True,False,False,
21-67488,False,False,False,False,True,False,False,
21-67489,False,False,False,False,True,False,False,
21-67490,False,False,False,False,False,False,False,
21-67491,False,False,False,False,False,False,True,
17-107742,False,False,False,False,False,False,False,
21-67494,False,False,False,True,False,False,False,
21-67498,False,False,False,True,False,False,False,
21-67499,False,False,False,False,True,False,False,
21-67502,False,False,False,False,False,False,False,
21-67503,False,False,False,False,True,False,False,
21-67508,False,False,False,False,False,False,False,
21-67510,False,False,False,False,False,False,False,
21-67514,False,False,False,True,False,False,False,
21-67515,False,False,False,False,False,False,False,
21-67517,False,False,False,True,False,False,False,
21-67518,False,False,False,False,True,False,False,
21-67519,False,False,False,True,False,False,False,
21-67526,False,False,False,False,False,False,True,
21-67534,False,False,False,False,True,False,False,
21-67536,False,False,False,False,False,False,False,
21-67539,False,False,False,False,True,False,False,
